,x,y
A,220,90
B,440,90
C,700,90
1A,1000,90
2B,1120,90
3C,1235,90
4D,1350,90
1,225,560
2,345,560
3,460,560
4,580,560
5,700,560
6,815,560
7,935,560
8,1055,560
9,1170,560
10,1285,560
11,1275,390
12,1145,390
13,1015,390
14,880,390
15,745,390
16,615,390
17,490,390
18,355,390
19,225,390
38,120,925
39,285,925
40,450,925
41,615,925
42,780,925
43,945,925
44,1110,925
45,1275,925
46,1435,925
46A,1500,650
47,1475,755
48,1310,755
49,1145,755
50,985,755
51,825,755
52,660,755
53,495,755
54,335,755
55,175,755
55A,100,650
